Are You a Fan of SW?,Favorability_Han Solo,Favorability_Luke Skywalker,Favorability_Princess Leia Organa,Favorability_Anakin Skywalker,Favorability_Obi Wan Kenobi,Favorability_Emperor Palpatine,Favorability_Darth Vader,Favorability_Lando Calrissian,Favorability_Boba Fett,Favorability_C-3P0,Favorability_R2 D2,Favorability_Jar Jar Binks,Favorability_Padme Amidala,Favorability_Yoda,who_shot_first,Familiar_with_expanded_universe,are_you_a_fan_of_expanded_universe,fan_of_star_trek,Gender,Age,Household.Income,Education,Location
No,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),I don't understand this question,No,,No,Male,18-29,,Bachelor degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very unfavorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Greedo,Yes,Yes,Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Somewhat favorably,Somewhat favorably,Very favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,No,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Han,Yes,No,Yes,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
Yes,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Somewhat favorably,Very favorably,Greedo,Yes,No,No,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,,Very favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,I don't understand this question,Yes,No,Yes,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
Yes,Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very unfavorably,Very unfavorably,Very unfavorably,Very favorably,Very favorably,Somewhat favorably,Very unfavorably,Somewhat unfavorably,Very unfavorably,Very unfavorably,Very favorably,Han,Yes,No,No,Male,18-29,,Some college or Associate degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Unfamiliar (N/A),Very unfavorably,Very favorably,Han,Yes,Yes,Yes,Male,18-29,"$150,000+",Some college or Associate degree,East North Central
No,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Somewhat favorably,Unfamiliar (N/A),Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat unfavorably,Unfamiliar (N/A),Somewhat favorably,I don't understand this question,No,,No,Male,30-44,"$0 - $24,999",High school degree,New England
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,Yes,Yes,Yes,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
No,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Somewhat unfavorably,Han,No,,No,Male,18-29,,,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very favorably,Very unfavorably,Very favorably,Very favorably,Han,No,,No,Male,30-44,"$150,000+",Graduate degree,East North Central
Yes,Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Neither favorably nor unfavorably (neutral),Greedo,No,,No,Male,18-29,"$0 - $24,999",Bachelor degree,West North Central
Yes,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Somewhat unfavorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Han,No,,No,Male,18-29,,Some college or Associate degree,Pacific
Yes,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Neither favorably nor unfavorably (neutral),Somewhat favorably,Somewhat favorably,Han,Yes,No,Yes,Male,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat unfavorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Greedo,Yes,Yes,Yes,Male,30-44,"$0 - $24,999",High school degree,West North Central
Yes,Very favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Somewhat favorably,Very favorably,Very favorably,Neither favorably nor unfavorably (neutral),Very favorably,Very favorably,Very unfavorably,Neither favorably nor unfavorably (neutral),Very favorably,Han,No,,Yes,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic
Yes,Very favorably,Very favorably,Very favorably,Somewhat favorably,Very favorably,Somewhat favorably,Very favorably,Very favorably,Very favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Somewhat favorably,Very favorably,Han,Yes,Yes,No,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
